,location_name,lat,long,winning_tickets,address,city
911,Primm Valley Lotto,35.6055618,-115.3899528,48,I 15 Stateline Nv,Nipton
602,Gold Ranch Lottery,39.394834,-120.022537,21,1 Gold Ranch Rd,Floriston
322,Bluebird Liquor,33.907037,-118.351968,8,13746 S Hawthorne Blvd,Hawthorne
459,Country Store,35.265444,-116.073381,7,72129 Baker Bl,Baker
1104,Stateline Service,35.441297,-115.672837,7,65845 Cima Rd,Nipton
618,Hallelujah Junction Market,39.774873,-120.036597,7,753 775 State Hwy 70,Chilcoot
731,Lichine'S Liquor & Deli,38.496666,-121.511079,5,7107 S Land Park Dr,Sacramento
771,Mad Dog Cafe,38.774903,-119.825302,4,290 A Old Pony Express Rd,Markleeville
1237,Vallarta Supermarket #38,34.575017,-118.04382,3,38118 47Th St E,Palmdale
420,Cigarette Depot,33.872998,-117.941219,3,316 N Euclid St,Fullerton
873,Panama Mart Inc,35.295593,-119.056077,3,4815 Panama Lane,Bakersfield
244,Am/Pm #82310,34.029324,-117.651374,3,2430 S Euclid Av,Ontario
1179,Tobacco Cigars & More,34.279671,-118.719013,2,3949 Cochran St Unit A,Simi Valley
154,7-Eleven 2365-32787,37.998237,-121.731876,2,2437 Main St,Oakley
134,7-Eleven 2364-14119,38.468747,-121.426195,2,6591 Wyndham Dr,Sacramento
797,Michaels Market,33.515213,-117.154333,2,41925 Motor Car Pkwy,Temecula
1191,Trinity Parkway Am/Pm #83819,38.053967,-121.375481,2,10715 Trinity Pkwy,Stockton
156,7-Eleven 2365-33389,38.335798,-122.676377,2,1704 E Cotati Av,Cotati
818,Mom Supermarket,33.732181,-117.936338,2,5111 W Edinger Ave,Santa Ana
137,7-Eleven 2364-23015,38.690897,-121.382506,2,3601 Elkhorn Blvd,North Highlands
151,7-Eleven 2365-26231,38.050545,-122.146692,2,500 Military E,Benicia
1213,United Oil #46,32.855035,-117.204138,2,3918 Governor Dr,San Diego
1197,Tyler'S Donuts,34.395453,-119.514101,2,1002 Casitas Pass Rd,Carpinteria
1203,Union Landing Shell,37.597862,-122.065963,2,31301 Alvarado Niles Rd,Union City
180,7-Eleven 2367-17195,37.347264,-121.951277,2,1590 Franklin St,Santa Clara
115,7-Eleven 2175-23289,34.102651,-118.111607,2,805 W Las Tunas Dr,San Gabriel
111,7-Eleven 2175-20295,34.150828,-118.007971,2,400 W Foothill Bl,Monrovia
588,Gallop Liquor,33.743533,-117.973364,2,8950 Bolsa Ave,Westminster
99,7-Eleven 2173-39629,34.07687,-118.28637,2,3555 W Temple St,Los Angeles
763,Lucky Doughnuts,37.733269,-122.15154,2,565 Dutton Av,San Leandro
93,7-Eleven 2173-16226,34.055475,-118.441742,2,1400 Westwood Bl,Los Angeles
599,Gino'S Grocery Company,37.792637,-122.43427,2,2500 Fillmore St,San Francisco
601,Go! Gas And Food,37.823018,-122.207497,2,2240 Mountain Blvd,Oakland
740,Liquor Locker,33.467741,-117.676014,2,34092 Doheny Park Rd,Capistrano Beach
1167,The Charles Brown Co,35.979744,-116.270833,2,712 N State Highway 127,Shoshone
682,Johns Liquor,33.846671,-118.115154,2,5932 Del Amo Blvd,Lakewood
183,7-Eleven 2367-29788,37.456942,-121.917815,2,1838 Milmount Dr,Milpitas
1147,Super Mac Food & Gas,37.411247,-120.849568,2,8480 Lander Ave,Hilmar
350,C & D,34.06156,-118.305796,2,3680 Wilshire Blvd Ste P04,Los Angeles
973,Rose Food & Liquor,38.748968,-121.270482,2,215 Harding Blvd,Roseville
972,Ron'S Liquor,37.390392,-121.879289,2,1633 Flickinger Ave,San Jose
959,Rialto Arco Ampm,34.099884,-117.35249,2,2898 W Rialto Ave,Rialto
1025,Sam'S Fresh Donuts,34.168175,-118.286304,2,1506 W Glenoaks Blvd,Glendale
948,Ralphs Grocery #744,33.6407895,-117.8756293,2,2555 E Bluff Dr,Newport Beach
409,Chevron #98966,38.611038,-121.401057,2,2500 Fulton Av,Sacramento
311,Baycrest Liquor,33.632339,-117.914567,2,333 E 17Th St,Costa Mesa
934,Raley'S #337,38.346586,-122.707105,2,100 Raleys Town Ctr,Rohnert Park
302,Baker Chevron,35.264345,-116.076088,2,72083 Baker Blvd,Baker
1046,Seafood City Supermarket,33.831904,-118.279578,2,131 W Carson St,Carson
293,Atlantic Arco #83525,33.836291,-118.185438,2,4385 Atlantic Ave,Long Beach
924,Quik Stop #551057,38.25086,-122.623866,2,1510 E Washington St,Petaluma
923,Quik Stop #550161,38.695282,-120.812846,2,4185 State Hwy 49,Diamond Springs
912,Prince Liquor,33.817357,-118.360658,2,4425 Calle Mayor Av,Torrance
1067,Showcase Wine & Spirits,34.169768,-118.131828,2,1392 N Lake Ave,Pasadena
273,Arco Am/Pm #82298,34.092419,-117.43616,2,8898 Sierra Av,Fontana
269,Arco Am/Pm #7029,38.559115,-121.243752,2,4000 Sunrise Blvd.,Rancho Cordova
230,Albertsons 52-2591,33.695241,-117.765416,2,14201 Jeffrey Rd,Irvine
223,Al'S Market 2,33.715151,-118.040795,2,5042 Warner Av,Huntington Beach
1122,Stater Bros 205,33.966945,-117.035311,2,1004 Cherry Valley Blvd,Calimesa
213,Ace Liquor,34.161983,-118.30188,2,1740 Victory Bl,Glendale
1132,Stues Dairy,33.913189,-118.308716,2,13126 S Western Ave,Gardena
68,7-Eleven 2136-25483,34.158005,-118.131938,2,690 N Lake Av,Pasadena
1146,Super King Market #3,34.184514,-118.159504,2,2260 Lincoln Ave,Altadena
203,99 Cent + Gift Shop,34.080833,-118.0772,2,8825 Valley Blvd,Rosemead
364,Carmel Liquor & Deli,32.953985,-117.230072,2,12750 Carmel Country Rd Ste100,San Diego
1308,Windsor Palms Market,38.542851,-122.801235,2,8465 Old Redwood Hwy Ste 720,Windsor
1271,Vons Grocery 52-2859,33.034835,-117.282544,2,453 Santa Fe Dr,Encinitas
675,Jimbo'S Liquor,32.823939,-117.183333,2,4411 Genesee Av,San Diego
672,Jay'S Donut,33.789186,-118.31691,2,2068 Pacific Coast Hwy,Lomita
5,3 King'S Liquor,33.858126,-118.365625,2,5126 W 190Th St,Torrance
668,Jacobs Unocal,34.07373,-118.38334,2,8755 W 3Rd St,Los Angeles
1310,Woodcreek Oaks Am/Pm #81936,38.772197,-121.313562,2,1261 Pleasant Grove Blvd,Roseville
1270,Vons Grocery 52-2724,33.081297,-117.232638,2,3439 Via Montebello,Carlsbad
721,Las Palmitas Mini Market,34.035046,-118.255494,2,1205 Wall St,Los Angeles
42,7-Eleven 2131-13586,32.642313,-116.993241,2,913 Otay Lakes Rd,Chula Vista
