,year_day,date,fire_count
0,2021275,2021-10-02,9
1,2021276,2021-10-03,12
2,2021277,2021-10-04,7
3,2021278,2021-10-05,14
4,2021279,2021-10-06,16
5,2021280,2021-10-07,14
6,2021281,2021-10-08,0
7,2021282,2021-10-09,1
8,2021283,2021-10-10,3
9,2021284,2021-10-11,0
10,2021285,2021-10-12,3
11,2021286,2021-10-13,0
12,2021287,2021-10-14,5
13,2021288,2021-10-15,6
14,2021289,2021-10-16,14
15,2021290,2021-10-17,9
16,2021291,2021-10-18,29
17,2021292,2021-10-19,8
18,2021293,2021-10-20,8
19,2021294,2021-10-21,51
20,2021295,2021-10-22,4
21,2021296,2021-10-23,2
22,2021297,2021-10-24,0
23,2021298,2021-10-25,0
24,2021299,2021-10-26,2
25,2021300,2021-10-27,16
26,2021301,2021-10-28,0
27,2021302,2021-10-29,4
28,2021303,2021-10-30,10
29,2021304,2021-10-31,33
30,2021305,2021-11-01,0
31,2021306,2021-11-02,0
32,2021307,2021-11-03,61
33,2021308,2021-11-04,8
34,2021309,2021-11-05,0
35,2021310,2021-11-06,0
36,2021311,2021-11-07,0
37,2021312,2021-11-08,44
38,2021313,2021-11-09,30
39,2021314,2021-11-10,31
40,2021315,2021-11-11,3
41,2021316,2021-11-12,0
42,2021317,2021-11-13,18
43,2021318,2021-11-14,13
44,2021319,2021-11-15,30
45,2021320,2021-11-16,40
46,2021321,2021-11-17,13
47,2021322,2021-11-18,0
48,2021323,2021-11-19,0
49,2021324,2021-11-20,10
50,2021325,2021-11-21,4
51,2021326,2021-11-22,45
52,2021327,2021-11-23,41
53,2021328,2021-11-24,87
54,2021329,2021-11-25,23
55,2021330,2021-11-26,64
56,2021331,2021-11-27,46
57,2021332,2021-11-28,25
58,2021333,2021-11-29,37
59,2021334,2021-11-30,91
60,2021335,2021-12-01,58
61,2021336,2021-12-02,57
62,2021337,2021-12-03,65
63,2021338,2021-12-04,26
64,2021339,2021-12-05,30
65,2021340,2021-12-06,12
66,2021341,2021-12-07,22
67,2021342,2021-12-08,81
68,2021343,2021-12-09,27
69,2021344,2021-12-10,66
70,2021345,2021-12-11,71
71,2021346,2021-12-12,46
72,2021347,2021-12-13,32
73,2021348,2021-12-14,36
74,2021349,2021-12-15,29
75,2021350,2021-12-16,28
76,2021351,2021-12-17,32
77,2021352,2021-12-18,35
78,2021353,2021-12-19,60
79,2021354,2021-12-20,38
80,2021355,2021-12-21,1
81,2021356,2021-12-22,60
82,2021357,2021-12-23,48
83,2021358,2021-12-24,46
84,2021359,2021-12-25,107
85,2021360,2021-12-26,65
86,2021361,2021-12-27,31
87,2021362,2021-12-28,27
88,2021363,2021-12-29,51
89,2021364,2021-12-30,46
90,2021365,2021-12-31,44
91,2022001,2022-01-01,67
92,2022002,2022-01-02,63
93,2022003,2022-01-03,19
94,2022004,2022-01-04,41
95,2022005,2022-01-05,44
96,2022006,2022-01-06,22
97,2022007,2022-01-07,30
98,2022008,2022-01-08,49
99,2022009,2022-01-09,36
100,2022010,2022-01-10,7
101,2022011,2022-01-11,12
102,2022012,2022-01-12,15
103,2022013,2022-01-13,29
104,2022014,2022-01-14,67
105,2022015,2022-01-15,65
106,2022016,2022-01-16,3
107,2022017,2022-01-17,21
108,2022018,2022-01-18,64
109,2022019,2022-01-19,30
110,2022020,2022-01-20,21
111,2022021,2022-01-21,6
112,2022022,2022-01-22,0
113,2022023,2022-01-23,0
114,2022024,2022-01-24,60
115,2022025,2022-01-25,10
116,2022026,2022-01-26,1
117,2022027,2022-01-27,18
118,2022028,2022-01-28,38
119,2022029,2022-01-29,24
120,2022030,2022-01-30,78
121,2022031,2022-01-31,46
122,2022032,2022-02-01,31
123,2022033,2022-02-02,43
124,2022034,2022-02-03,82
125,2022035,2022-02-04,113
126,2022036,2022-02-05,65
127,2022037,2022-02-06,17
128,2022038,2022-02-07,38
129,2022039,2022-02-08,10
130,2022040,2022-02-09,0
131,2022041,2022-02-10,64
132,2022042,2022-02-11,43
133,2022043,2022-02-12,99
134,2022044,2022-02-13,4
135,2022045,2022-02-14,83
136,2022046,2022-02-15,27
137,2022047,2022-02-16,49
138,2022048,2022-02-17,71
139,2022049,2022-02-18,69
140,2022050,2022-02-19,47
141,2022051,2022-02-20,61
142,2022052,2022-02-21,89
143,2022053,2022-02-22,60
144,2022054,2022-02-23,76
145,2022055,2022-02-24,79
146,2022056,2022-02-25,76
147,2022057,2022-02-26,28
148,2022058,2022-02-27,63
149,2022059,2022-02-28,71
150,2022060,2022-03-01,13
151,2022061,2022-03-02,62
152,2022062,2022-03-03,84
153,2022063,2022-03-04,55
154,2022064,2022-03-05,70
155,2022065,2022-03-06,65
156,2022066,2022-03-07,21
157,2022067,2022-03-08,49
158,2022068,2022-03-09,77
159,2022069,2022-03-10,23
160,2022070,2022-03-11,54
161,2022071,2022-03-12,6
162,2022072,2022-03-13,51
163,2022073,2022-03-14,55
164,2022074,2022-03-15,39
165,2022075,2022-03-16,21
166,2022076,2022-03-17,48
167,2022077,2022-03-18,46
168,2022078,2022-03-19,44
169,2022079,2022-03-20,56
170,2022080,2022-03-21,86
171,2022081,2022-03-22,85
172,2022082,2022-03-23,51
173,2022083,2022-03-24,41
174,2022084,2022-03-25,79
175,2022085,2022-03-26,67
176,2022086,2022-03-27,87
177,2022087,2022-03-28,36
178,2022088,2022-03-29,45
179,2022089,2022-03-30,99
180,2022090,2022-03-31,48
181,2022091,2022-04-01,12
182,2022092,2022-04-02,48
183,2022093,2022-04-03,0
184,2022094,2022-04-04,19
185,2022095,2022-04-05,21
