,year_day,fire_count,date
0,2022001,130,2022-01-01
1,2022002,94,2022-01-02
2,2022003,32,2022-01-03
3,2022004,117,2022-01-04
4,2022005,51,2022-01-05
5,2022006,58,2022-01-06
6,2022007,117,2022-01-07
7,2022008,74,2022-01-08
8,2022009,55,2022-01-09
9,2022010,36,2022-01-10
10,2022011,21,2022-01-11
11,2022012,95,2022-01-12
12,2022013,124,2022-01-13
13,2022014,170,2022-01-14
14,2022015,138,2022-01-15
15,2022016,3,2022-01-16
16,2022017,39,2022-01-17
17,2022018,85,2022-01-18
18,2022019,98,2022-01-19
19,2022020,49,2022-01-20
20,2022021,7,2022-01-21
21,2022022,0,2022-01-22
22,2022023,0,2022-01-23
23,2022024,156,2022-01-24
24,2022025,16,2022-01-25
25,2022026,2,2022-01-26
26,2022027,29,2022-01-27
27,2022028,111,2022-01-28
28,2022029,33,2022-01-29
29,2022030,259,2022-01-30
30,2022031,73,2022-01-31
31,2022032,179,2022-02-01
32,2022033,109,2022-02-02
33,2022034,166,2022-02-03
34,2022035,352,2022-02-04
35,2022036,75,2022-02-05
36,2022037,20,2022-02-06
37,2022038,65,2022-02-07
38,2022039,10,2022-02-08
39,2022040,7,2022-02-09
40,2022041,265,2022-02-10
41,2022042,91,2022-02-11
42,2022043,102,2022-02-12
43,2022044,12,2022-02-13
44,2022045,153,2022-02-14
45,2022046,47,2022-02-15
46,2022047,102,2022-02-16
47,2022048,166,2022-02-17
48,2022049,174,2022-02-18
49,2022050,69,2022-02-19
50,2022051,121,2022-02-20
51,2022052,405,2022-02-21
52,2022053,153,2022-02-22
53,2022054,356,2022-02-23
54,2022055,461,2022-02-24
55,2022056,302,2022-02-25
56,2022057,94,2022-02-26
57,2022058,101,2022-02-27
58,2022059,112,2022-02-28
59,2022060,24,2022-03-01
60,2022061,110,2022-03-02
61,2022062,126,2022-03-03
62,2022063,84,2022-03-04
63,2022064,86,2022-03-05
64,2022065,114,2022-03-06
65,2022066,37,2022-03-07
66,2022067,62,2022-03-08
67,2022068,96,2022-03-09
68,2022069,35,2022-03-10
69,2022070,79,2022-03-11
70,2022071,7,2022-03-12
71,2022072,63,2022-03-13
72,2022073,82,2022-03-14
73,2022074,88,2022-03-15
74,2022075,30,2022-03-16
75,2022076,101,2022-03-17
76,2022077,115,2022-03-18
77,2022078,63,2022-03-19
78,2022079,79,2022-03-20
79,2022080,130,2022-03-21
80,2022081,144,2022-03-22
81,2022082,75,2022-03-23
82,2022083,47,2022-03-24
83,2022084,135,2022-03-25
84,2022085,94,2022-03-26
85,2022086,128,2022-03-27
86,2022087,147,2022-03-28
87,2022088,211,2022-03-29
88,2022089,303,2022-03-30
89,2022090,117,2022-03-31
90,2022091,26,2022-04-01
91,2022092,139,2022-04-02
92,2022093,0,2022-04-03
93,2022094,31,2022-04-04
94,2022095,29,2022-04-05
95,2022096,35,2022-04-06
96,2022097,26,2022-04-07
97,2022098,38,2022-04-08
