,year_day,fire_count,date
0,2022001,130,2022-01-01
1,2022002,94,2022-01-02
2,2022003,32,2022-01-03
3,2022004,117,2022-01-04
4,2022005,51,2022-01-05
5,2022006,58,2022-01-06
6,2022007,117,2022-01-07
7,2022008,72,2022-01-08
8,2022009,55,2022-01-09
9,2022010,36,2022-01-10
10,2022011,22,2022-01-11
11,2022012,110,2022-01-12
12,2022013,158,2022-01-13
13,2022014,196,2022-01-14
14,2022015,182,2022-01-15
15,2022016,3,2022-01-16
16,2022017,39,2022-01-17
17,2022018,105,2022-01-18
18,2022019,124,2022-01-19
19,2022020,45,2022-01-20
20,2022021,7,2022-01-21
21,2022022,0,2022-01-22
22,2022023,0,2022-01-23
23,2022024,157,2022-01-24
24,2022025,16,2022-01-25
25,2022026,3,2022-01-26
26,2022027,29,2022-01-27
27,2022028,110,2022-01-28
28,2022029,33,2022-01-29
29,2022030,259,2022-01-30
30,2022031,73,2022-01-31
