QUALIFIED,,UPDATED,NAME,GENDER,SPORT,BIRTHPLACE,STATION,HOMETOWN,STATION,CURRENT RESIDENCE,STATION,SCHOOL,STATION,CLUB/PRO TEAM,STATION,OLYMPIC TEAMS,OLYMPIC MEDALS,TWITTER/X URL,INSTAGRAM URL,TIKTOK URL,DRUPAL TAGS
,,X,Ben Ritchie,Male,Alpine Skiing,"Burlington, VT",WPTZ,"Waitsfield, VT",WPTZ,,,Green Mountain Valley School ,WPTZ,,,,,,https://www.instagram.com/ben.ritchie__/?hl=en,,X
,,X,Bryce Bennett,Male,Alpine Skiing,"Truckee, CA",KCRA,"Olympic Valley, CA",KCRA,"Alpine Meadows, CA",KCRA,Westminster College,KSL,Team Palisades Tahoe,KCRA / KRNV,"2018, 2022",,,https://www.instagram.com/brycebennett/?hl=en,,X
,,X,Jared Goldberg,Male,Alpine Skiing,"Boston, MA",WBTS,"Salt Lake City, UT",KSL,"Holladay, UT",KSL,University of Utah,KSL,,,"2014, 2018",,https://x.com/jared_goldberg?lang=en,https://www.instagram.com/jaredgoldberg/?hl=en,,X
,,X,River Radamus,Male,Alpine Skiing,"Steamboat Springs, CO",KUSA,"Edwards, CO ",KUSA,"Vail, CO",KUSA,,,Ski and Snowboard Club Vail,KUSA,2022,,,https://www.instagram.com/riverradamus/?hl=en,River Radamus (@riverradamus) | TikTok,X
,,X,Ryan Cochran-Siegle,Male,Alpine Skiing,"Burlington, VT",WPTZ,"Starksboro, VT",WPTZ,"Starksboro, VT",WPTZ,Westminster College,KSL,Cochran's Ski Club / Mt. Mansfield Academy ,WPTZ,"2018, 2022",1 silver,,https://www.instagram.com/rc.s/?hl=en,,X
,,X,AJ Hurt,Female,Alpine Skiing,"Truckee, CA",KCRA,"Carnelian Bay, CA",KCRA,"Tahoe, CA",KRNV,Dartmouth College,WPTZ,Team Palisades Tahoe,KCRA / KRNV,2022,,,https://www.instagram.com/ajhurti/?hl=en,,X
,,X,Breezy Johnson,Female,Alpine Skiing,"Jackson Hole, WY",KPVI,"Victor, ID",KPVI,"Salt Lake City, UT",KSL,Western Washington University / University of Utah ,KING / KSL,Rowmark Ski Academy,KSL,2018,,,https://www.instagram.com/breezyjohnsonski/,Breezy Johnson (@breezyjohnsonski) | TikTok,X
,,X,Jackie Wiles,Female,Alpine Skiing,"Portland, OR",KGW,"Aurora, OR ",KGW,"Aurora, OR ",KGW,,,,,"2014, 2022",,,https://www.instagram.com/jacquelinewiles/?hl=en,,X
,,X,Katie Hensien,Female,Alpine Skiing,"Redmond, WA ",KING,"Redmond, WA ",KING,"Park City, UT ",KSL,University of Denver ,KUSA,Rowmark Ski Academy,KSL,2022,,https://x.com/katiehensien,https://www.instagram.com/katiehensien/?hl=en,,X
,,X,Keely Cashman,Female,Alpine Skiing,"Strawberry, CA",KNBC,"Strawberry, CA",KNBC,"Strawberry, CA",KNBC,University of Utah / Montana State University,KSL / KDBZ,Bear Valley / Team Palisades Tahoe ,KCRA / KRNV,2022,,,https://www.instagram.com/keely_cashman/?hl=en,,X
,,X,Lindsey Vonn,Female,Alpine Skiing,"St. Paul, MN",KARE,"Vail, CO",KUSA,"Miami, FL / Park City, UT ",WTVJ / KSL,,,Buck Hill Ski Team / Ski and Snowboard Club Vail,KUSA,"2002, 2006, 2010, 2018","1 gold, 2 bronze",lindsey vonn (@lindseyvonn) / X,https://www.instagram.com/lindseyvonn/?hl=en,https://www.tiktok.com/@lindseyvonn?lang=en,X
