FIRST_NAME,LAST_NAME,SPORT,FULL_RESIDENCE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Ben ,Davison,Rowing ,"Iverness , Florida ",28.8447,-82.3631194,0,,,,,,,,,,,
John John,Florence,Surfing,"North Shore, Oahu, Hawaii",21.5991756,-158.2655747,0,,,,,,,,,,,
Tommy ,Paul,Tennis,"Boca Rotan , Florida ",26.3728294,-80.1173655,0,,,,,,,,,,,
Jessica ,Pegula ,Tennis,"Boca Rotan , Florida ",26.3728294,-80.1173655,0,,,,,,,,,,,
Grant ,Koontz,Cycling (Track Cycling),"Tollan , Colorado",39.595212,-105.974117,0.75,place,,,,,Dillon,CO,Summit County,80435,US,TIGER/Line® dataset from the US Census Bureau
Rachel,Tozier,Shooting,"Fort Moore, Georgia",33.58016,-84.326757,0.75,place,,,,,Morrow,GA,Clayton County,30260,US,TIGER/Line® dataset from the US Census Bureau
Ivan,Roe,Shooting,"Fort Moore, Georgia",33.58016,-84.326757,0.75,place,,,,,Morrow,GA,Clayton County,30260,US,TIGER/Line® dataset from the US Census Bureau
Will,Hinton,Shooting,"Fort Moore, Georgia",33.58016,-84.326757,0.75,place,,,,,Morrow,GA,Clayton County,30260,US,TIGER/Line® dataset from the US Census Bureau
Lily ,Williams,Cycling (Track Cycling),"Provence , France ",38.446793,-78.557513,0.8,place,,,,,Furnace,VA,Page County,22827,US,TIGER/Line® dataset from the US Census Bureau
Angelica ,Delgado,Judo ,"Coconut Creek, Florida ",26.399526,-81.839532,0.8,place,,,,,Coconut,FL,Lee County,33923,US,TIGER/Line® dataset from the US Census Bureau
Taylor,Spivey,Triathlon,"Girona, Spain ",45.703006,-97.785936,0.8,place,,,,,Spain,SD,Marshall County,57430,US,TIGER/Line® dataset from the US Census Bureau
Garrett,Muagututia,Volleyball,"Egypt , ",40.680096,-75.529907,0.8,place,,,,,Egypt,PA,Lehigh County,18052,US,TIGER/Line® dataset from the US Census Bureau
Aaron,Russell,Volleyball,"Japan, ",40.992584,-75.910199,0.8,place,,,,,Japan,PA,Luzerne County,18224,US,TIGER/Line® dataset from the US Census Bureau
Jack ,Yonezuka,Judo ,"West Long Beach , New Jersey ",39.685675,-74.144859,0.9,place,,,,,Long Beach,NJ,Ocean County,8008,US,TIGER/Line® dataset from the US Census Bureau
Sammy ,Sullivan,Rugby ,"Glendale , Colorado ",39.704987,-104.933591,0.9,place,,,,,Glendale,CO,Arapahoe County,80246,US,TIGER/Line® dataset from the US Census Bureau
Dania,Vizzi,Shooting,"Odessa, Florida",28.193901,-82.591764,0.9,place,,,,,Odessa,FL,Pasco County,33556,US,TIGER/Line® dataset from the US Census Bureau
Abbey,Weitzeil,Swimming,"Saugus, California",34.411385,-118.540086,0.9,place,,,,,Saugus,CA,Los Angeles County,91350,US,TIGER/Line® dataset from the US Census Bureau
David,Smith,Volleyball,"Saugus, California",34.411385,-118.540086,0.9,place,,,,,Saugus,CA,Los Angeles County,91350,US,TIGER/Line® dataset from the US Census Bureau
Sunny,Choi,Breaking,"Queens , New York ",40.654658,-73.841209,1,county,,,,,,NY,Queens County,,US,US Census Bureau
Max,Holt,Volleyball,"Orange County, California",33.675687,-117.777207,1,county,,,,,,CA,Orange County,,US,US Census Bureau
Annie ,Drews ,Volleyball,"Orange County , California",33.675687,-117.777207,1,county,,,,,,CA,Orange County,,US,US Census Bureau
Brady,Ellison,Archery,"Globe, Arizona",33.566039,-110.757756,1,place,,,,,Globe,AZ,Gila County,85501,US,TIGER/Line® dataset from the US Census Bureau
Casey,Kaufhold,Archery,"Lancaster, Pennsylvania",40.076553,-76.31068,1,place,,,,,Lancaster,PA,Lancaster County,17601,US,TIGER/Line® dataset from the US Census Bureau
Jennifer,Mucino-Fernandez,Archery,"Chula Vista, California ",32.636922,-117.050072,1,place,,,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau
Anita,Alvarez,Artistic Swimming,"Los Angeles, California ",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Daniella,Ramirez,Artistic Swimming,"Los Angeles, California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Megumi,Field,Artistic Swimming,"Los Angeles, California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
