FIRST_NAME,LAST_NAME,SPORT,FULL_HOMETOWN,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Ben ,Davison,Rowing ,"Iverness , Florida",28.8447,-82.3631194,0,,,,,,,,,,,
Alex,Obert,Water Polo,"Loomis/Sacremento, California",38.806322,-121.2006899,0.5,place,,,,,Sacramento,CA,Sacramento County,94240,US,TIGER/Line® dataset from the US Census Bureau
Vinson ,Chiu,Badminton,"Southern , California",35.187133,-117.885359,0.75,place,,,,,California City,CA,Kern County,93504,US,TIGER/Line® dataset from the US Census Bureau
Annette,Echikunwoke,Track and Field,"Pickering North , Ohio ",39.88423,-82.7535,0.75,place,,,,,Pickerington,OH,Fairfield County,43147,US,TIGER/Line® dataset from the US Census Bureau
Sunny,Choi,Breaking,"Queens, NY",40.745263,-73.711159,0.8,place,,,,,Queens,NY,Queens County,11004,US,TIGER/Line® dataset from the US Census Bureau
Cameron ,Wood,Cycling (BMX Racing),"Montana City , Montana ",46.537711,-111.932769,0.8,place,,,,,Montana City,MT,Jefferson County,59634,US,TIGER/Line® dataset from the US Census Bureau
Nick,Mead,Rowing,"Strafford, Pennsylvania",40.050942,-75.404358,0.8,place,,,,,Strafford,PA,Chester County,19087,US,TIGER/Line® dataset from the US Census Bureau
Matt,Anderson,Volleyball,"West Seneca, New York",42.83749,-78.75083,0.8,place,,,,,West Seneca,NY,Erie County,14224,US,TIGER/Line® dataset from the US Census Bureau
Ryann,Neushul,Water Polo,"Isla Vista, California",34.413329,-119.860972,0.8,place,,,,,Isla Vista,CA,Santa Barbara County,93117,US,TIGER/Line® dataset from the US Census Bureau
Anita,Alvarez,Artistic Swimming,"Kenmore, New York",42.965891,-78.870036,0.9,place,,,,,Kenmore,NY,Erie County,14217,US,TIGER/Line® dataset from the US Census Bureau
Kassidy ,Cook ,Diving,"The Woodlands, Texas ",30.194985,-95.548211,0.9,place,,,,,The Woodlands,TX,Montgomery County,77382,US,TIGER/Line® dataset from the US Census Bureau
Jack ,Yonezuka,Judo ,"West Long Beach , New Jersey",39.685675,-74.144859,0.9,place,,,,,Long Beach,NJ,Ocean County,8008,US,TIGER/Line® dataset from the US Census Bureau
Colin,Duffy,Sport Climbing,"Broomfield, Colorado",39.930782,-105.074287,0.9,place,,,,,Broomfield,CO,Broomfield County,80020,US,TIGER/Line® dataset from the US Census Bureau
Abbey,Weitzeil,Swimming,"Saugus, California",34.411385,-118.540086,0.9,place,,,,,Saugus,CA,Los Angeles County,91350,US,TIGER/Line® dataset from the US Census Bureau
David,Smith,Volleyball,"Saugus, California",34.411385,-118.540086,0.9,place,,,,,Saugus,CA,Los Angeles County,91350,US,TIGER/Line® dataset from the US Census Bureau
Jordan ,Thompson,Volleyball,"Edina , Minnesota ",44.889687,-93.349949,0.9,place,,,,,Edina,MN,Hennepin County,55424,US,TIGER/Line® dataset from the US Census Bureau
Brady,Ellison,Archery,"Globe, Arizona",33.566039,-110.757756,1,place,,,,,Globe,AZ,Gila County,85501,US,TIGER/Line® dataset from the US Census Bureau
Casey,Kaufhold,Archery,"Lancaster, Pennsylvania",40.076553,-76.31068,1,place,,,,,Lancaster,PA,Lancaster County,17601,US,TIGER/Line® dataset from the US Census Bureau
Jennifer,Mucino-Fernandez,Archery,"Mexico City, Mexico, ",39.395801,-91.660463,1,street_center,,Mexico Rd,,,Perry,MO,Ralls County,63462,US,TIGER/Line® dataset from the US Census Bureau
Daniella,Ramirez,Artistic Swimming,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Megumi,Field,Artistic Swimming,"Wilmington, Delaware",39.727113,-75.547844,1,place,,,,,Wilmington,DE,New Castle County,19801,US,TIGER/Line® dataset from the US Census Bureau
Jaime,Czarkowski,Artistic Swimming,"Calgary, Canada",51.164888,-114.073897,1,place,,,,,Calgary,AB,,T3K,CA,CanVec+ by Natural Resources Canada
Jacklyn,Luu,Artistic Swimming,"Milpitas, California",37.436454,-121.861989,1,place,,,,,Milpitas,CA,Santa Clara County,95035,US,TIGER/Line® dataset from the US Census Bureau
Keana ,Hunter,Artistic Swimming,"Los Angeles, California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Jennie,Gai,Badminton,"Fremont, California",37.565285,-121.982721,1,place,,,,,Fremont,CA,Alameda County,94536,US,TIGER/Line® dataset from the US Census Bureau
Beiwen,Zhang,Badminton,"China & Singapore, ",30.04799,-94.33574,1,place,,,,,China,TX,Jefferson County,77613,US,TIGER/Line® dataset from the US Census Bureau
Annie ,Xu,Badminton,"San Jose , California",37.346608,-121.909871,1,place,,,,,San Jose,CA,Santa Clara County,95110,US,TIGER/Line® dataset from the US Census Bureau
Kerry ,Xu,Badminton,"San Jose , California",37.346608,-121.909871,1,place,,,,,San Jose,CA,Santa Clara County,95110,US,TIGER/Line® dataset from the US Census Bureau
Joshua ,Yuan,Badminton,"San Mateo, California",37.573485,-122.32253,1,place,,,,,San Mateo,CA,San Mateo County,94401,US,TIGER/Line® dataset from the US Census Bureau
Howard ,Shu,Badminton,"Orange County , California",33.675687,-117.777207,1,county,,,,,,CA,Orange County,,US,US Census Bureau
Canyon,Barry,Basketball 3x3,"Colorado Springs, Colorado",38.828893,-104.809929,1,place,,,,,Colorado Springs,CO,El Paso County,80903,US,TIGER/Line® dataset from the US Census Bureau
Jimmer,Fredette,Basketball 3x3,"Glens Falls, New York",43.30952,-73.64401,1,place,,,,,Glens Falls,NY,Warren County,12801,US,TIGER/Line® dataset from the US Census Bureau
Kareem,Maddox,Basketball 3x3,"Oak Park, California",34.184975,-118.766918,1,place,,,,,Oak Park,CA,Ventura County,91377,US,TIGER/Line® dataset from the US Census Bureau
