FIRST_NAME,LAST_NAME,SPORT,SCHOOL,Latitude,Longitude,Accuracy Score
Casey,Kaufhold,Archery,,0,0,0
Jennifer,Mucino-Fernandez,Archery,,0,0,0
Beiwen,Zhang,Badminton,,0,0,0
Dylan,Travis,Basketball 3x3,Florida Southern College,28.0314592,-81.947615,0
Bam,Adebayo,Basketball,University of Kentucky,38.028689,-84.5274793,0
Devin,Booker,Basketball,University of Kentucky,38.028689,-84.5274793,0
Anthony,Davis,Basketball,University of Kentucky,38.028689,-84.5274793,0
Anthony,Edwards,Basketball,University of Georgia,33.95667,-83.3777669,0
Joel,Embiid,Basketball,University of Kentucky,38.028689,-84.5274793,0
LeBron,James,Basketball,,0,0,0
Napheesa,Collier,Basketball,University of Conneticut,41.8135455,-72.2478464,0
Breanna,Stewart,Basketball,University of Connecticut,41.8135455,-72.2478464,0
Diana,Taurasi,Basketball,University of Connecticut,41.8135455,-72.2478464,0
A'ja,Wilson,Basketball,University of South Carolina,33.9937619,-81.0324935,0
Jahmal,Harvey,Boxing,,0,0,0
Roscoe,Hill,Boxing,,0,0,0
Alyssa,Mendoza,Boxing,,0,0,0
Jajaria,Gonzalez,Boxing,,0,0,0
Jennifer,Lozano,Boxing,,0,0,0
"Logan ""Logistx""",Edra,Breaking,,0,0,0
Victor,Montalvo,Breaking,,0,0,0
Casey,Eichfeld,Canoeing,,0,0,0
Daleny,Vaughn,Cycling (BMX Racing),,0,0,0
Jennifer,Valente,Cycling (Track Cycling),,0,0,0
Perris,Benegas,Cycling (BMX Freestyle),,0,0,0
Riley,Amos,Cycling (Mountain Bike),,0,0,0
Brandon,McNulty,Cycling (Road),,0,0,0
Cameron,Wood,Cycling (BMX Racing),,0,0,0
Christopher,Blevins,Cycling (Mountain Bike),California Polytechnic State University,35.3050097,-120.6650691,0
Magnus,Sheffield,Cycling (Road),,0,0,0
Marcus,Christopher,Cycling (BMX Freestyle),,0,0,0
Matteo,Jorgenson,Cycling (Road),,0,0,0
Delaney,Schnell,Diving,University of Arizona,32.2319026,-110.9561156,0
Sarah,Bacon,Diving,University of Minnesota,44.9739938,-93.2303034,0
Lee,Kiefer,Fencing,University of Kentucky,38.028689,-84.5274793,
Lee,Kiefer,Fencing,University of Notre Dame ,41.7050544,-86.2381188,0
Ashley,Hoffman,Field Hockey,University of North Carolina,35.9049165,-79.0494883,0
Karlie,Kisha,Field Hockey,University of Connecticut,41.8135455,-72.2478464,0
Meredith,Sholder,Field Hockey,University of North Carolina,35.9049165,-79.0494883,0
Nelly,Korda,Golf,,0,0,0
Jack,Yonezuka,Judo,,0,0,0
Madeleine,Wanamaker,Rowing,University of Wisconsin,43.0765959,-89.4150624,0
Jessia,Thoennes,Rowing,,0,0,0
Kayla,Canett,Rugby,Pennsylvania State University,40.7982173,-77.8624833,0
Alev,Kelter,Rugby,University of Wisconsin,43.0765959,-89.4150624,0
Naya,Tapper,Rugby,University of North Carolina,35.9049165,-79.0494883,0
Daniela,Moroz,Sailing,University of Hawaii,21.300851,-157.8199134,0
Maggie,Shea,Sailing,Connecticut College,41.3797608,-72.1069178,0
Sarah,Newberry Moore,Sailing,New College of Florida,27.3849664,-82.5665346,0
Alexis,Lagan,Shooting,University of Utah,40.7609145,-111.889025,0
Ada,Khorkin,Shooting,,0,0,0
Derrick,Mein,Shooting,Kansas State University,39.2089828,-96.6016085,0
Keith,Sanderson,Shooting,,0,0,0
Chris,Joslin,Skateboarding,,0,0,0
Gavin,Bottger,Skateboarding,,0,0,0
Jagger,Eaton,Skateboarding,,0,0,0
Nyjah,Huston,Skateboarding,,0,0,0
Tate,Carew,Skateboarding,,0,0,0
Mariah,Duran,Skateboarding,,0,0,0
Minna,Stess,Skateboarding,,0,0,0
Paige,Heyn,Skateboarding,,0,0,0
Poe,Pinson,Skateboarding,,0,0,0
Ruby,Lilley,Skateboarding,,0,0,0
Samuel,Watson,Sport Climbing,,0,0,0
Zach,Hammer,Sport Climbing,,0,0,0
Caroline,Marks,Surfing,,0,0,0
Brooks,Curry,Swimming,Louisiana State University,30.4132625,-91.1825772,0
Chase,Kalisz,Swimming,University of Georgia,33.95667,-83.3777669,0
Luca,Urlando,Swimming,University of Georgia,33.95667,-83.3777669,0
Nic,Fink,Swimming,University of Georgia,33.95667,-83.3777669,0
Erika,Connolly (formerly Brown),Swimming,University of Tennessee,35.9544056,-83.9320313,0
Katharine,Berkoff,Swimming,North Carolina State University,35.7850787,-78.6838573,0
Katie,Grimes,Swimming,,0,0,0
CJ,Nickolas,Taekwondo,,0,0,0
Faith,Dillon,Taekwondo,,0,0,0
Kristina,Teachout,Taekwondo,,0,0,0
Chris,Eubanks,Tennis,Georgia Tech University,33.7756222,-84.3988599,0
Taylor,Fritz,Tennis,,0,0,0
Tommy,Paul,Tennis,,0,0,0
Coco,Gauff,Tennis,,0,0,0
Jessica,Pegula,Tennis,,0,0,0
Chris,Bailey,Track and Field,University of Arkansas,36.0686938,-94.177422,0
Hobbs,Kessler,Track and Field,,0,0,0
Nico,Young,Track and Field,Northern Arizona University,35.1802728,-111.6566085,0
Payton,Otterdahl,Track and Field,North Dakota State University,46.8977564,-96.8050116,0
Zach,Ziemek,Track and Field,University of Wisconsin,43.0765959,-89.4150624,0
Aaliyah,Butler,Track and Field,University of Georgia,33.95667,-83.3777669,0
Sha'Carri,Richardson,Track and Field,Louisiana State University,30.4132625,-91.1825772,0
Taylor,Spivey,Triathlon,California Polytechnic State University,35.3050097,-120.6650691,0
Taylor,Averill,Volleyball,University of Hawaii,21.300851,-157.8199134,0
Lauren,Carlini,Volleyball,University of Wisconsin,43.0765959,-89.4150624,0
Dana,Rettke,Volleyball,University of Wisconsin,43.0765959,-89.4150624,0
Kelsey,Robinson Cook,Volleyball,University of Tennessee,35.9544056,-83.9320313,0
Avery,Skinner,Volleyball,University of Kentucky,38.0591743,-84.5183813,0
Haleigh,Washington,Volleyball,Pennsylvania State University,40.7982173,-77.8624833,0
Hampton,Morris,Weightlifting,,0,0,0
Wes,Kitts,Weightlifting,,0,0,0
Jourdan,Delacruz,Weightlifting,University of Northern Colorado,40.4062738,-104.6970352,0
Jennie,Gai,Badminton,University of California - Berkley,39.436729,-77.813177,0.3
Annie,Xu,Badminton,University of California - Berkley,39.436729,-77.813177,0.3
Kerry,Xu,Badminton,University of California - Berkley,39.436729,-77.813177,0.3
Vinson,Chiu,Badminton,University of California - Berkley,39.436729,-77.813177,0.3
Joshua,Yuan,Badminton,University of California - Berkley,39.436729,-77.813177,0.3
Canyon,Barry,Basketball 3x3,University of Florida,29.6465474,-82.3559015,
Canyon,Barry,Basketball 3x3,College of Charleston ,28.062,-82.413225,0.3
Kara,Kohler,Rowing,"University of California, Berkley",39.436729,-77.813177,0.3
Collin,Morikawa,Golf,"University of California, Berkeley",37.864425,-122.28713,0.5
Austen,Smith,Shooting,University of Texas - Arlington,32.635563,-97.148829,0.5
Jack,Alexy,Swimming,"University of California, Berkeley",37.864425,-122.28713,0.5
Keaton,Jones,Swimming,"University of California, Berkeley",37.864425,-122.28713,0.5
Ryan,Murphy,Swimming,"University of California, Berkeley",37.864425,-122.28713,0.5
Abbey,Weitzeil,Swimming,"University of California, Berkeley",37.864425,-122.28713,0.5
Alex,Shackell,Swimming,"University of California, Berkeley (future)",37.864425,-122.28713,0.5
Claire,Weinstein,Swimming,"University of California, Berkeley (future)",37.864425,-122.28713,0.5
Phoebe,Bacon,Swimming,University of Wisconsin-Madison,43.060926,-88.230636,0.5
Lily,Zhang,Table Tennis,"University of California, Berkeley ",37.864425,-122.28713,0.5
Adrian,Weinberg,Water Polo,"University of California, Berkeley",37.864425,-122.28713,0.5
Johnny,Hooper,Water Polo,"University of California, Berkeley",37.864425,-122.28713,0.5
Luca,Cupido,Water Polo,"University of California, Berkeley",37.864425,-122.28713,0.5
Mary,Theisen-Lappen,Weightlifting,University of Missouri,38.9403849,-92.3303124,
Mary,Theisen-Lappen,Weightlifting,Indiana State University,39.4714026,-87.4108556,0.5
Sabrina,Ionescu,Basketball,University of Oregon,45.576228,-122.728709,0.55
Alyssa,Thomas,Basketball,University of Maryland,38.970388,-76.941919,0.55
Kelee,Lepage,Field Hockey,University of Maryland,38.970388,-76.941919,0.55
Wyndham,Clark,Golf,Univeristy of Oregon,45.576228,-122.728709,0.55
Lauren,Doyle,Rugby,Eastern Illinois University,41.477816,-87.683188,0.55
Cole,Hocker,Track and Field,University of Oregon,45.576228,-122.728709,0.55
DeAnna,Price,Track and Field,Southern Illinois University,41.477816,-87.683188,0.55
Jordyn,Poulter,Volleyball,University of Illinois,41.477816,-87.683188,0.55
Katelyn,Abeln,Shooting,Ohio State University,38.663964,-83.379076,0.65
Hunter,Armstrong,Swimming,Ohio State University,38.663964,-83.379076,0.65
Jordan,Larson,Volleyball,University of Nebraska,40.840834,-96.655292,0.65
Kyle,Snyder,Wrestling,Ohio State University,38.663964,-83.379076,0.65
Megumi,Field,Artistic Swimming,Stanford University,37.4276642,-122.1726349,
Megumi,Field,Artistic Swimming,Laurel Springs High School,34.4477652,-119.252149,0.74
Kevin,Durant,Basketball,University of Texas,29.543813,-98.295356,0.75
Tyrese,Haliburton,Basketball,Iowa State University,42.52637,-92.71186,0.75
Grant,Koontz,Cycling (Track Cycling),"Texas A&M University,",29.543813,-98.295356,0.75
Alison,Gibson,Diving,University of Texas,29.543813,-98.295356,0.75
Will,Coleman,Equestrian (Eventing),University of Virginia,37.57557,-77.53823,0.75
Brooke,DeBerdine,Field Hockey,University Maryland,39.713941,-76.651296,0.75
Emma,DeBerdine,Field Hockey,University Maryland,39.713941,-76.651296,0.75
Abby,Tamer,Field Hockey,University of Michigan,43.556574,-83.994328,0.75
Scottie,Scheffler,Golf,University of Texas,29.543813,-98.295356,0.75
Regina,Salmons,Rowing,University of Pennsylvania,40.799672,-77.862339,0.75
Alena,Olsen,Rugby,University of Michigan,43.556574,-83.994328,0.75
Mary,Tucker,Shooting,University of West Virginia,39.64804,-79.9722896,
Mary,Tucker,Shooting,University of Kentucky,38.0591743,-84.5183813,0.75
Rachel,Tozier,Shooting,University of Central Missouri,39.143437,-92.179684,0.75
Aaron,Shackell,Swimming,University of Texas (future),29.6465474,-82.3559015,
Aaron,Shackell,Swimming,University of California (Current),29.649113,-82.3493296,0.75
Carson,Foster,Swimming,University of Texas,29.543813,-98.295356,0.75
Charlie,Swanson,Swimming,University of Michigan,43.556574,-83.994328,0.75
Drew,Kibler,Swimming,University of Texas,29.543813,-98.295356,0.75
Luke,Hobson,Swimming,University of Texas,29.543813,-98.295356,0.75
Matt,Fallon,Swimming,University of Pennsylvania,40.799672,-77.862339,0.75
Thomas,Heilman,Swimming,University of Virginia (future),37.57557,-77.53823,0.75
Alex,Walsh,Swimming,University of Virginia,37.57557,-77.53823,0.75
Emma,Weber,Swimming,University of Virginia,37.57557,-77.53823,0.75
Erin,Gemmell,Swimming,University of Texas,29.543813,-98.295356,0.75
Gretchen,Walsh,Swimming,University of Virginia,37.57557,-77.53823,0.75
Kate,Douglass,Swimming,University of Virginia,37.57557,-77.53823,0.75
Paige,Madden,Swimming,University of Virginia,37.57557,-77.53823,0.75
Austin,Krajicek,Tennis,Texas A&M University,29.543813,-98.295356,0.75
Danielle,Collins,Tennis,University of Virgina,38.0335571,-78.5105521,
Danielle,Collins,Tennis,University of Florida,29.649113,-82.3493296,0.75
Heath,Baldwin,Track and Field,Michigan St. University,43.556574,-83.994328,0.75
Teetee,Terry,Track and Field,University of Southern California,34.1389,-118.35341,0.75
Micah,Christenson,Volleyball,University of Southern California,34.1389,-118.35341,0.75
Chiaka,Ogbogu,Volleyball,University of Texas,29.543813,-98.295356,0.75
Amanda,Longan,Water Polo,University of Southern California,34.1389,-118.35341,0.75
Kaleigh,Gilchrist,Water Polo,University of Southern California,34.1389,-118.35341,0.75
Hannes,Daube,Water Polo,University of Southern California,34.1389,-118.35341,0.75
Marko,Vavic,Water Polo,University of Southern California,34.1389,-118.35341,0.75
Jaime,Czarkowski,Artistic Swimming,Western Canada High School,33.612327,-95.747185,0.8
Kahleah,Cooper,Basketball,Rutgers University,28.062,-82.413225,0.8
Chelsea,Gray,Basketball,Duke University,28.062,-82.413225,0.8
Sunny,Choi,Breaking,Wharton School at the University of Pennsylvania,41.531732,-78.019723,0.8
Haley,Batten,Cycling (Mountain Bike),Quest University,28.062,-82.413225,0.8
Greg,Duncan,Diving,Purdue Universtiy,32.514584,-88.982277,0.8
Boyd,Martin,Equestrian (Eventing),Nimbin University (Australia),28.062,-82.413225,0.8
Leah,Crouse,Field Hockey,Duke University,28.062,-82.413225,0.8
Kaitlin,Knifton,Rowing,The University of Texas at Austin,30.633245,-97.677985,0.8
Justin,Best,Rowing,Drexel University,28.062,-82.413225,0.8
Jacob,Plihal,Rowing,Northeastern University,28.062,-82.413225,0.8
Sarah,Levy,Rugby,Northeastern University,28.062,-82.413225,0.8
Ilona,Maher,Rugby,Quinnipiac University,28.062,-82.413225,0.8
Spiff,Sedrick,Rugby,Life University,28.062,-82.413225,0.8
Noah,Lyons,Sailing,University of South Florida,28.062,-82.413225,0.8
David,Liebenberg,Sailing,Tufts University,28.062,-82.413225,0.8
Dania,Vizzi,Shooting,University of Florida,28.062,-82.413225,0.8
Henry,Leverett,Shooting,Diplomatische Akademie Wien,39.660862,-92.784359,0.8
Tom,Schaar,Skateboarding,San Dieguito High School Academy,33.612327,-95.747185,0.8
Piper,Kelly,Sport Climbing,Xavier University,28.062,-82.413225,0.8
Jesse,Grupper,Sport Climbing,Tufts University,28.062,-82.413225,0.8
Caitlin,Simmers,Surfing,Coastal Academy High School,33.612327,-95.747185,0.8
Carissa,Moore,Surfing,Punahou High,33.612327,-95.747185,0.8
Bobby,Finke,Swimming,University of Florida,28.062,-82.413225,0.8
Caeleb,Dressel,Swimming,University of Florida,28.062,-82.413225,0.8
Kieran,Smith,Swimming,University of Florida,28.062,-82.413225,0.8
Luke,Whitlock,Swimming,University of Florida,28.062,-82.413225,0.8
Emma,Weyant,Swimming,Univeristy of Florida,28.062,-82.413225,0.8
Jacob,Wooten,Track and Field,A&M University,28.062,-82.413225,0.8
Ryan,Crouser,Track and Field,University of Texas at Austin,30.633245,-97.677985,0.8
Alexis,Holmes,Track and Field,University of Florida,28.062,-82.413225,0.8
David,Smith,Volleyball,"University of California, Irvine ",33.640302,-117.769442,0.8
Annie,Drews,Volleyball,Purdue University,28.062,-82.413225,0.8
Ryder,Dodd,Water Polo,"University of California, Los Angeles (Future)",34.027291,-118.281464,
Ryder,Dodd,Water Polo,JSerra Catholic High School,33.5208645,-117.6682319,0.8
Daniella,Ramirez,Artistic Swimming,University of California - Los Angeles,34.027291,-118.281464,0.9
Howard,Shu,Badminton,"University of California, Los Angeles ",34.027291,-118.281464,0.9
Kareem,Maddox,Basketball 3x3,Princeton University,25.538442,-80.408944,0.9
Jrue,Holiday,Basketball,"University of California, Los Angeles",34.027291,-118.281464,0.9
Kelsey,Plum,Basketball,University of Washington,47.666487,-122.309849,0.9
Kelly,Cheng (nee Claes),Beach Volleyball,"University of California, Los Angeles",34.027291,-118.281464,0.9
Aaron,Small,Canoeing,University of Washington,47.666487,-122.309849,0.9
Jonas,Ecker,Canoeing,University of Washington,47.666487,-122.309849,0.9
Tyler,Downs,Diving,Laurel Springs Online School (2021),39.820114,-75.006279,0.9
Tatiana,Nazlymov,Fencing,Princeton University,25.538442,-80.408944,0.9
Kat,Holmes,Fencing,Princeton University,25.538442,-80.408944,0.9
Maia,Weintraub,Fencing,Princeton University,25.538442,-80.408944,0.9
Amanda,Golini,Field Hockey,Randolph High School Lafayette College,43.061727,-89.512788,0.9
