,FIRST_NAME,LAST_NAME,SPORT,BIRTHPLACE,BIRTHPLACE_STATE,HOMETOWN,HOMETOWN_STATE,CURRENT_RESIDENCE,CURRENT_RESIDENCE_STATE,SCHOOL,FULL_BIRTHPLACE,FULL_HOMETOWN,FULL_RESIDENCE
0,Brady,Ellison,Archery,Globe,Arizona,Globe,Arizona,Globe,Arizona,Chula Vista Elite Athlete Training Center,"Globe, Arizona","Globe, Arizona","Globe, Arizona"
1,Casey,Kaufhold,Archery,Lancaster,Pennsylvania,Lancaster,Pennsylvania,Lancaster,Pennsylvania,,"Lancaster, Pennsylvania","Lancaster, Pennsylvania","Lancaster, Pennsylvania"
3,Jennifer,Mucino-Fernandez,Archery,Boston,Massachusetts,"Mexico City, Mexico",,Chula Vista,California,,"Boston, Massachusetts","Mexico City, Mexico, ","Chula Vista, California "
4,Anita,Alvarez,Artistic Swimming,Buffalo ,New York,Kenmore,New York,Los Angeles,California,Pasadena City College,"Buffalo , New York","Kenmore, New York","Los Angeles, California "
5,Daniella,Ramirez,Artistic Swimming,Indianapolis,Indiana,Miami,Florida,Los Angeles,California,University of California - Los Angeles,"Indianapolis, Indiana","Miami, Florida","Los Angeles, California"
6,Megumi,Field,Artistic Swimming,Wilmington ,Delaware,Wilmington,Delaware,Los Angeles,California,Laurel Springs High School/Stanford University ,"Wilmington , Delaware ","Wilmington, Delaware","Los Angeles, California"
7,Jaime,Czarkowski,Artistic Swimming,Calgary,Canada,Calgary,Canada,Los Angeles,California,Western Canada High School,"Calgary, Canada","Calgary, Canada","Los Angeles, California"
8,Jacklyn,Luu,Artistic Swimming,Milpitas,California,Milpitas,California,Palo Alto ,California,Stanford University,"Milpitas, California","Milpitas, California","Palo Alto , California"
10,Keana ,Hunter,Artistic Swimming,Seattle,Washington,Los Angeles,California,Los Angeles,California,Bellevue College,"Seattle, Washington","Los Angeles, California","Los Angeles, California "
12,Jennie,Gai,Badminton,Lowell,Massachusetts,Fremont,California,Fremont,California,University of California - Berkley,"Lowell, Massachusetts","Fremont, California","Fremont, California"
13,Beiwen,Zhang,Badminton,"Anshan, Liaoning, China",,China & Singapore,,Las Vegas,Nevada,,"Anshan, Liaoning, China, ","China & Singapore, ","Las Vegas, Nevada"
14,Annie ,Xu,Badminton,San Jose,California,San Jose ,California,San Jose,California,University of California - Berkley ,"San Jose, California","San Jose , California","San Jose, California"
15,Kerry ,Xu,Badminton,San Jose,California,San Jose ,California,San Jose,California,University of California - Berkley ,"San Jose, California","San Jose , California","San Jose, California"
16,Vinson ,Chiu,Badminton,Southern,California,Southern ,California,San Jose,California,University of California - Berkley ,"Southern, California","Southern , California","San Jose, California"
17,Joshua ,Yuan,Badminton,San Mateo ,California,San Mateo,California,San Mateo ,California,University of California - Berkley ,"San Mateo , California","San Mateo, California","San Mateo , California"
18,Howard ,Shu,Badminton,Los Alamitos,California,Orange County ,California,Los Angeles,California,UCLA ,"Los Alamitos, California","Orange County , California","Los Angeles, California"
19,Canyon,Barry,Basketball 3x3,Fort Wayne,Indiana,Colorado Springs,Colorado,Bradenton,Florida,College of Charleston | University of Florida,"Fort Wayne, Indiana","Colorado Springs, Colorado","Bradenton, Florida"
20,Jimmer,Fredette,Basketball 3x3,Glens Falls,New York,Glens Falls,New York,Denver,Colorado,Brigham Young University,"Glens Falls, New York","Glens Falls, New York","Denver, Colorado"
21,Kareem,Maddox,Basketball 3x3,Los Angeles,California,Oak Park,California,Los Angeles,California,Princeton University,"Los Angeles, California","Oak Park, California","Los Angeles, California"
22,Dylan,Travis,Basketball 3x3,Omaha,Nebraska,Omaha,Nebraska,Omaha,Nebraska,Florida Southern College,"Omaha, Nebraska","Omaha, Nebraska","Omaha, Nebraska"
26,Dearica,Hamby ,Basketball 3x3,Marietta ,Georgia,Marietta ,Georgia,Los Angeles,California,Wake Forest University ,"Marietta , Georgia ","Marietta , Georgia ","Los Angeles, California"
27,Bam,Adebayo,Basketball,Newark ,New Jersey,Pinetown ,North Carolina,Miami ,Florida,University of Kentucky ,"Newark , New Jersey ","Pinetown , North Carolina","Miami , Florida"
28,Devin ,Booker,Basketball,Grand Rapids ,Michigan,Moss Point ,Mississippi,Phoenix ,Arizona,University of Kentucky ,"Grand Rapids , Michigan","Moss Point , Mississippi ","Phoenix , Arizona "
29,Stephen ,Curry ,Basketball,Akron,Ohio,Charlotte ,North Carolina,San Francisco ,California,Davidson College ,"Akron, Ohio ","Charlotte , North Carolina","San Francisco , California"
30,Anthony ,Davis ,Basketball,Chicago ,Illinois,Chicago ,Illinois,Los Angeles,California,University of Kentucky ,"Chicago , Illinois ","Chicago , Illinois ","Los Angeles, California"
31,Kevin ,Durant ,Basketball,Washington ,District of Columbia,Suitland ,Maryland,Phoenix ,Arizona,University of Texas,"Washington , District of Columbia","Suitland , Maryland ","Phoenix , Arizona "
32,Anthony ,Edwards ,Basketball,Atlanta ,Georgia,Atlanta ,Georgia,Minnesota ,Minneapolis,University of Georgia ,"Atlanta , Georgia ","Atlanta , Georgia ","Minnesota , Minneapolis"
33,Joel ,Embiid,Basketball,Yaounde,Cameroon,Yaounde ,Cameroon,Philadelphia ,Pennsylvania,University of Kentucky ,"Yaounde, Cameroon ","Yaounde , Cameroon ","Philadelphia , Pennsylvania "
34,Tyrese,Haliburton,Basketball,Oshkosh,Wisconsin,Oshkosh,Wisconsin,Indianapolis,Indiana,Iowa State University ,"Oshkosh, Wisconsin ","Oshkosh, Wisconsin","Indianapolis, Indiana "
35,Jrue ,Holiday ,Basketball,Los Angeles,California,Los Angeles ,California,Boston,Massachusetts,UCLA,"Los Angeles, California","Los Angeles , California","Boston, Massachusetts"
36,LeBron ,James ,Basketball,Akron,Ohio,Akron ,Ohio,Los Angeles,California,,"Akron, Ohio ","Akron , Ohio ","Los Angeles, California"
37,Kawhi ,Leonard ,Basketball,Riverside ,California,Los Angeles ,California,Los Angeles,California,San Diego State University ,"Riverside , California","Los Angeles , California","Los Angeles, California"
38,Jayson ,Tatum ,Basketball,St. Louis ,Missouri,St. Louis ,Missouri,Boston,Massachusetts,Chaminade College Preparatory School,"St. Louis , Missouri ","St. Louis , Missouri ","Boston, Massachusetts"
39,Napheesa,Collier,Basketball ,O'Fallon ,Missouri,Jefferson City ,Missouri,Minneapolis,Minnesota,University of Conneticut ,"O'Fallon , Missouri ","Jefferson City , Missouri ","Minneapolis, Minnesota "
40,Kahleah,Cooper ,Basketball ,Philadelphia,Pennsylvania,Philadelphia ,Pennsylvania,Phoenix ,Arizona,Rutgers University ,"Philadelphia, Pennsylvania","Philadelphia , Pennsylvania ","Phoenix , Arizona "
41,Chelsea,Gray ,Basketball ,Hayward ,California,Hayward ,California,Las Vegas ,Nevada,Duke University ,"Hayward , California","Hayward , California","Las Vegas , Nevada "
42,Brittney,Griner ,Basketball ,Houston ,Texas,Houston ,Texas,Phoenix ,Arizona,Baylor University ,"Houston , Texas ","Houston , Texas ","Phoenix , Arizona "
43,Sabrina,Ionescu,Basketball ,Walnut Creek ,California,Walnut Creek ,California,New York ,New York,University of Oregon ,"Walnut Creek , California","Walnut Creek , California","New York , New York "
44,Jewell,Loyd ,Basketball ,Chicago ,Illinois,Lincolnwod,Illinois,Seattle ,Washington,University of Notre Dame,"Chicago , Illinois ","Lincolnwod, Illinois ","Seattle , Washington "
45,Kelsey ,Plum,Basketball,Poway ,California,Poway ,California,Las Vegas ,Nevada,University of Washington ,"Poway , California ","Poway , California ","Las Vegas , Nevada "
46,Breanna,Stewart,Basketball,Syracuse,New York,North Syracuse,New York,New York,New York,University of Connecticut,"Syracuse, New York","North Syracuse, New York","New York, New York "
47,Diana,Taurasi,Basketball,Chino,California,Chino,California,Phoenix,Arizona,University of Connecticut,"Chino, California ","Chino, California ","Phoenix, Arizona"
48,Alyssa ,Thomas,Basketball,Harrisburg ,Pensylvania,Harrisburg ,Pensylvania,Uncasville,Connecticut,University of Maryland,"Harrisburg , Pensylvania ","Harrisburg , Pensylvania ","Uncasville, Connecticut"
49,A'ja,Wilson,Basketball,Columbia ,South Carolina,Columbia ,South Carolina,Las Vegas,Nevada,University of South Carolina,"Columbia , South Carolina","Columbia , South Carolina","Las Vegas, Nevada"
50,Jackie ,Young,Basketball,Princeton ,Indiana,Princeton ,Indiana,Las Vegas,Nevada,University of Notre Dame,"Princeton , Indiana ","Princeton , Indiana ","Las Vegas, Nevada"
51,Kelly,Cheng (nee Claes),Beach Volleyball,Fullerton,California,Fullerton,California,Fullerton,California,UCLA,"Fullerton, California","Fullerton, California","Fullerton, California"
58,Miles ,Evans,Beach Volleyball,Santa Barbara ,CA,Santa Barbara ,CA,Hermosa Beach,California,UC Santa Barbara ,"Santa Barbara , CA","Santa Barbara , CA","Hermosa Beach, California "
