first_name,last_name,sport,location_name,lat,long,location_type
Casey,Kaufhold,Archery,,0,0,School
Jennifer,Mucino-Fernandez,Archery,,0,0,School
Beiwen,Zhang,Badminton,,0,0,School
Dylan,Travis,Basketball 3x3,Florida Southern College,28.0314592,-81.947615,School
Bam,Adebayo,Basketball,University of Kentucky,38.028689,-84.5274793,School
Devin,Booker,Basketball,University of Kentucky,38.028689,-84.5274793,School
Anthony,Davis,Basketball,University of Kentucky,38.028689,-84.5274793,School
Anthony,Edwards,Basketball,University of Georgia,33.95667,-83.3777669,School
Joel,Embiid,Basketball,University of Kentucky,38.028689,-84.5274793,School
LeBron,James,Basketball,,0,0,School
Napheesa,Collier,Basketball,University of Conneticut,41.8135455,-72.2478464,School
Breanna,Stewart,Basketball,University of Connecticut,41.8135455,-72.2478464,School
Diana,Taurasi,Basketball,University of Connecticut,41.8135455,-72.2478464,School
A'ja,Wilson,Basketball,University of South Carolina,33.9937619,-81.0324935,School
Jahmal,Harvey,Boxing,,0,0,School
Roscoe,Hill,Boxing,,0,0,School
Alyssa,Mendoza,Boxing,,0,0,School
Jajaria,Gonzalez,Boxing,,0,0,School
Jennifer,Lozano,Boxing,,0,0,School
"Logan ""Logistx""",Edra,Breaking,,0,0,School
Victor,Montalvo,Breaking,,0,0,School
Casey,Eichfeld,Canoeing,,0,0,School
Daleny,Vaughn,Cycling (BMX Racing),,0,0,School
Jennifer,Valente,Cycling (Track Cycling),,0,0,School
Perris,Benegas,Cycling (BMX Freestyle),,0,0,School
Riley,Amos,Cycling (Mountain Bike),,0,0,School
Brandon,McNulty,Cycling (Road),,0,0,School
Cameron,Wood,Cycling (BMX Racing),,0,0,School
Christopher,Blevins,Cycling (Mountain Bike),California Polytechnic State University,35.3050097,-120.6650691,School
Magnus,Sheffield,Cycling (Road),,0,0,School
Marcus,Christopher,Cycling (BMX Freestyle),,0,0,School
Matteo,Jorgenson,Cycling (Road),,0,0,School
Delaney,Schnell,Diving,University of Arizona,32.2319026,-110.9561156,School
Sarah,Bacon,Diving,University of Minnesota,44.9739938,-93.2303034,School
Lee,Kiefer,Fencing,University of Kentucky,38.028689,-84.5274793,School
Lee,Kiefer,Fencing,University of Notre Dame ,41.7050544,-86.2381188,School
Ashley,Hoffman,Field Hockey,University of North Carolina,35.9049165,-79.0494883,School
Karlie,Kisha,Field Hockey,University of Connecticut,41.8135455,-72.2478464,School
Meredith,Sholder,Field Hockey,University of North Carolina,35.9049165,-79.0494883,School
Nelly,Korda,Golf,,0,0,School
Jack,Yonezuka,Judo,,0,0,School
Madeleine,Wanamaker,Rowing,University of Wisconsin,43.0765959,-89.4150624,School
Jessia,Thoennes,Rowing,,0,0,School
Kayla,Canett,Rugby,Pennsylvania State University,40.7982173,-77.8624833,School
Alev,Kelter,Rugby,University of Wisconsin,43.0765959,-89.4150624,School
Naya,Tapper,Rugby,University of North Carolina,35.9049165,-79.0494883,School
Daniela,Moroz,Sailing,University of Hawaii,21.300851,-157.8199134,School
Maggie,Shea,Sailing,Connecticut College,41.3797608,-72.1069178,School
Sarah,Newberry Moore,Sailing,New College of Florida,27.3849664,-82.5665346,School
Alexis,Lagan,Shooting,University of Utah,40.7609145,-111.889025,School
Ada,Khorkin,Shooting,,0,0,School
Derrick,Mein,Shooting,Kansas State University,39.2089828,-96.6016085,School
Keith,Sanderson,Shooting,,0,0,School
Chris,Joslin,Skateboarding,,0,0,School
Gavin,Bottger,Skateboarding,,0,0,School
Jagger,Eaton,Skateboarding,,0,0,School
Nyjah,Huston,Skateboarding,,0,0,School
Tate,Carew,Skateboarding,,0,0,School
Mariah,Duran,Skateboarding,,0,0,School
Minna,Stess,Skateboarding,,0,0,School
Paige,Heyn,Skateboarding,,0,0,School
Poe,Pinson,Skateboarding,,0,0,School
Ruby,Lilley,Skateboarding,,0,0,School
Samuel,Watson,Sport Climbing,,0,0,School
Zach,Hammer,Sport Climbing,,0,0,School
Caroline,Marks,Surfing,,0,0,School
Brooks,Curry,Swimming,Louisiana State University,30.4132625,-91.1825772,School
Chase,Kalisz,Swimming,University of Georgia,33.95667,-83.3777669,School
Luca,Urlando,Swimming,University of Georgia,33.95667,-83.3777669,School
Nic,Fink,Swimming,University of Georgia,33.95667,-83.3777669,School
Erika,Connolly (formerly Brown),Swimming,University of Tennessee,35.9544056,-83.9320313,School
Katharine,Berkoff,Swimming,North Carolina State University,35.7850787,-78.6838573,School
Katie,Grimes,Swimming,,0,0,School
CJ,Nickolas,Taekwondo,,0,0,School
Faith,Dillon,Taekwondo,,0,0,School
Kristina,Teachout,Taekwondo,,0,0,School
Chris,Eubanks,Tennis,Georgia Tech University,33.7756222,-84.3988599,School
Taylor,Fritz,Tennis,,0,0,School
Tommy,Paul,Tennis,,0,0,School
Coco,Gauff,Tennis,,0,0,School
Jessica,Pegula,Tennis,,0,0,School
Chris,Bailey,Track and Field,University of Arkansas,36.0686938,-94.177422,School
Hobbs,Kessler,Track and Field,,0,0,School
Nico,Young,Track and Field,Northern Arizona University,35.1802728,-111.6566085,School
Payton,Otterdahl,Track and Field,North Dakota State University,46.8977564,-96.8050116,School
Zach,Ziemek,Track and Field,University of Wisconsin,43.0765959,-89.4150624,School
Aaliyah,Butler,Track and Field,University of Georgia,33.95667,-83.3777669,School
Sha'Carri,Richardson,Track and Field,Louisiana State University,30.4132625,-91.1825772,School
Taylor,Spivey,Triathlon,California Polytechnic State University,35.3050097,-120.6650691,School
Taylor,Averill,Volleyball,University of Hawaii,21.300851,-157.8199134,School
Lauren,Carlini,Volleyball,University of Wisconsin,43.0765959,-89.4150624,School
Dana,Rettke,Volleyball,University of Wisconsin,43.0765959,-89.4150624,School
Kelsey,Robinson Cook,Volleyball,University of Tennessee,35.9544056,-83.9320313,School
Avery,Skinner,Volleyball,University of Kentucky,38.0591743,-84.5183813,School
